case_id,suggested_intent,intent_confidence,suggested_action,action_confidence,suggested_risk_tags,short_reason,uncertainty_flags,model_name,prompt_version,annotation_source
spotify-gold-candidate-048,account_access_or_security,0.90,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-183,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|REFUND|POLICY_SENSITIVE|PRIVATE_LOOKUP|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-021,account_access_or_security,0.94,ESCALATE,0.94,ACCOUNT_SPECIFIC|PII|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-147,account_access_or_security,0.90,ESCALATE,0.94,ACCOUNT_SPECIFIC|PII,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-075,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-093,account_access_or_security,0.94,ESCALATE,0.94,ACCOUNT_SPECIFIC,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-129,account_access_or_security,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-102,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-030,UNSURE,0.35,ESCALATE,0.94,PII|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-210,account_access_or_security,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-219,account_access_or_security,0.90,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-111,account_access_or_security,0.72,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-084,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|PAYMENT|PRIVATE_LOOKUP|MULTI_INTENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-201,account_access_or_security,0.94,ESCALATE,0.94,ACCOUNT_SPECIFIC|PII,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-003,account_access_or_security,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC|SECURITY|PRIVATE_LOOKUP|MULTI_INTENT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-148,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-193,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-022,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-103,subscription_or_plan,0.90,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-112,subscription_or_plan,0.72,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-076,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-130,subscription_or_plan,0.90,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-229,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-049,subscription_or_plan,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-058,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-166,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-004,subscription_or_plan,0.84,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-139,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-031,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-238,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-157,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-013,subscription_or_plan,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-040,subscription_or_plan,0.94,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-203,billing_or_payment,0.90,ESCALATE,0.94,PAYMENT|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-149,billing_or_payment,0.72,ESCALATE,0.82,,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-059,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-194,UNSURE,0.20,ESCALATE,0.94,PAYMENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-041,billing_or_payment,0.90,ESCALATE,0.94,PAYMENT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-167,billing_or_payment,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC|PAYMENT|REFUND|POLICY_SENSITIVE|PRIVATE_LOOKUP|MULTI_INTENT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-113,UNSURE,0.35,ESCALATE,0.94,PAYMENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-032,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|PAYMENT|PRIVATE_LOOKUP|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-077,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|PAYMENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-086,billing_or_payment,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC|PAYMENT|REFUND|POLICY_SENSITIVE|PRIVATE_LOOKUP|MULTI_INTENT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-230,billing_or_payment,0.94,ESCALATE,0.94,PAYMENT|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-095,UNSURE,0.35,ESCALATE,0.94,PAYMENT|MULTI_INTENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-131,billing_or_payment,0.72,ESCALATE,0.94,PAYMENT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-185,billing_or_payment,0.94,ESCALATE,0.94,PAYMENT|PRIVATE_LOOKUP,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
