case_id,thread_id,taxonomy_version,sampling_version,split_version,gold_intent,gold_action,gold_action_reason,difficulty,risk_tags,annotation_notes,annotator,reviewed_at,annotation_source,status
spotify-gold-candidate-076,twcs-7862dac3ec298d696cc5,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,"They still haven’t received the code needed for Premium, so support may need to check the account or activation process.",MEDIUM,ACCOUNT_SPECIFIC|LOW_CONTEXT,,candidate,2026-09-19T13:44:29.478081+00:00,human,FINALIZED
spotify-gold-candidate-077,twcs-7d14e7edc088b0157e33,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,ESCALATE,"This involves someone else’s account and payment details, so support would need to verify the account before making any changes.",HARD,ACCOUNT_SPECIFIC|PAYMENT|PII|PRIVATE_LOOKUP|MULTI_INTENT,,candidate,2026-09-19T13:58:02.826678+00:00,human,FINALIZED
spotify-gold-candidate-080,twcs-25007b19a6819a90e76c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,Waking up to a favourite song would be a nice extra feature.,EASY,,,candidate,2026-09-19T14:28:37.839665+00:00,human,FINALIZED
spotify-gold-candidate-081,twcs-20b8bfb7c98259f3acba,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,There’s just a small typo in the Italian settings that should be corrected.,EASY,,,candidate,2026-09-19T14:32:11.766103+00:00,human,FINALIZED
spotify-gold-candidate-082,twcs-5e7a2d9f9d0a8434645b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,AUTO_HANDLE,Standard app-loading troubleshooting can be provided without account-specific access.,HARD,LOW_CONTEXT,,candidate,2026-09-19T12:53:29.312008+00:00,human,FINALIZED
spotify-gold-candidate-083,twcs-c0e933c3eca74e20cb7c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,device_or_connectivity,AUTO_HANDLE,"Spotify works through Bose but not on the iPhone app, so it looks like a device-specific connection issue.",EASY,DEVICE_CONTEXT,,candidate,2026-09-19T13:25:24.379621+00:00,human,FINALIZED
spotify-gold-candidate-084,twcs-c62140cddcc8a65d4d57,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,They’re trying to switch to the student plan but are getting stuck on the student verification page.,MEDIUM,POLICY_SENSITIVE,,candidate,2026-09-19T13:40:17.864614+00:00,human,FINALIZED
spotify-gold-candidate-086,twcs-8bcd5c60b9dcafb15a6e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,ESCALATE,"The student renewal was missed and the full price was charged, so the payment and refund need to be checked.",MEDIUM,ACCOUNT_SPECIFIC|PAYMENT|REFUND,,candidate,2026-09-19T13:58:35.864850+00:00,human,FINALIZED
spotify-gold-candidate-087,twcs-1efbae2563c7809a02cd,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is a product suggestion for adding more history and notes around saved songs.,EASY,,,candidate,2026-09-19T14:07:55.421943+00:00,human,FINALIZED
spotify-gold-candidate-088,twcs-51bbfa1ea4be54d28fe6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,A specific new track is missing from Spotify and they want it added for a playlist.,EASY,,,candidate,2026-09-19T14:18:23.030225+00:00,human,FINALIZED
spotify-gold-candidate-090,twcs-d5965e2ad5956e3e6183,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,Spotify should officially launch in India instead of only being available unofficially.,EASY,POLICY_SENSITIVE,,candidate,2026-09-19T14:34:00.052523+00:00,human,FINALIZED
spotify-gold-candidate-091,twcs-c72085fc60181b54a7ca,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,Shuffle-only playback is a subscription-plan limitation that can be explained with standard guidance.,EASY,,,candidate,2026-09-19T13:19:57.874192+00:00,human,FINALIZED
spotify-gold-candidate-092,twcs-fd694912a19b913fed9f,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"Unknown devices seem able to connect or control playback, so I’d want the account and connected devices checked.",MEDIUM,ACCOUNT_SPECIFIC|SECURITY|DEVICE_CONTEXT,,candidate,2026-09-19T13:30:55.609967+00:00,human,FINALIZED
spotify-gold-candidate-093,twcs-4f80246ab2f8413fc08b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"They still can’t access the account after checking their details and resetting Facebook, so the account may need to be checked directly.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:36:30.910150+00:00,human,FINALIZED
spotify-gold-candidate-095,twcs-8993b719727017542995,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,AUTO_HANDLE,"The payment settings aren’t showing the right option, so I’d start with normal billing and account guidance.",EASY,ACCOUNT_SPECIFIC|PAYMENT,,candidate,2026-09-19T13:59:29.619143+00:00,human,FINALIZED
spotify-gold-candidate-098,twcs-c96017d523bd91c5ae05,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is a feature question about when Spotify will support multiroom playback on Alexa.,EASY,DEVICE_CONTEXT,,candidate,2026-09-19T14:25:34.548827+00:00,human,FINALIZED
spotify-gold-candidate-099,twcs-2dc10774b3e2493aa0a0,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is mainly a question about when Spotify will officially become available in Romania.,EASY,POLICY_SENSITIVE,,candidate,2026-09-19T14:31:43.501009+00:00,human,FINALIZED
spotify-gold-candidate-100,twcs-5db2d7cf39459b6aef4d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,library_playlist_or_saved_content,AUTO_HANDLE,"Downloaded music is being removed after app updates, which can be handled with standard offline-download troubleshooting",MEDIUM,,,candidate,2026-09-19T13:13:08.590569+00:00,human,FINALIZED
spotify-gold-candidate-101,twcs-27c401edeb3038bf2fb4,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,device_or_connectivity,ESCALATE,"The feature works on iPhone but not on this Android device, and the usual troubleshooting hasn't fixed it.",MEDIUM,DEVICE_CONTEXT,,candidate,2026-09-19T13:29:22.771189+00:00,human,FINALIZED
spotify-gold-candidate-102,twcs-28601f77eece30527021,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,A family member was removed and they need account-specific help checking the family-plan address and account details.,MEDIUM,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP,,candidate,2026-09-19T13:37:29.824103+00:00,human,FINALIZED
spotify-gold-candidate-103,twcs-c25fe960707eff167290,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,"They can’t accept the Family invite and the verification step isn’t accessible to them, so support needs to help directly.",HARD,ACCOUNT_SPECIFIC|POLICY_SENSITIVE|MULTI_INTENT,,candidate,2026-09-19T13:43:27.872307+00:00,human,FINALIZED
spotify-gold-candidate-104,twcs-eaafd7bd7b8c67d1039b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,AUTO_HANDLE,"The payment page got stuck while updating Premium, but they managed to sort it out.",EASY,PAYMENT,,candidate,2026-09-19T14:01:58.759659+00:00,human,FINALIZED
spotify-gold-candidate-105,twcs-cfb715f473ae1d746717,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,library_playlist_or_saved_content,ESCALATE,"Saved and downloaded music keeps disappearing even after trying all the usual fixes, so this needs a proper look.",MEDIUM,DEVICE_CONTEXT,,candidate,2026-09-19T14:10:58.696701+00:00,human,FINALIZED
spotify-gold-candidate-106,twcs-db29c5b6afb0f2e221d4,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,"The album is there, but it isn’t showing in the New Releases section.",EASY,,,candidate,2026-09-19T14:20:48.536193+00:00,human,FINALIZED
spotify-gold-candidate-107,twcs-4a6eed39ee7e0b51d8ee,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,"The playlist hasn’t been updated in a while, so this is mainly a content curation issue.",EASY,,,candidate,2026-09-19T14:23:49.643953+00:00,human,FINALIZED
spotify-gold-candidate-109,twcs-c1f4e320782aea766ba2,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,Apple Watch support is a product availability question that can be answered with standard public guidance.,EASY,DEVICE_CONTEXT,,candidate,2026-09-19T13:13:47.909090+00:00,human,FINALIZED
spotify-gold-candidate-111,twcs-eb4347e6e590b297a39d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,other_or_unclear,ESCALATE,"They only say there is a problem with the account, so more account-specific details are needed before it can be resolved.",MEDIUM,ACCOUNT_SPECIFIC|LOW_CONTEXT,,candidate,2026-09-19T13:39:47.954105+00:00,human,FINALIZED
spotify-gold-candidate-112,twcs-5da04f19748590d8a89e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"Someone else appears to be using the account on an Xbox, so the account and connected devices need a security check.",HARD,ACCOUNT_SPECIFIC|SECURITY|DEVICE_CONTEXT,,candidate,2026-09-19T13:43:57.105648+00:00,human,FINALIZED
spotify-gold-candidate-113,twcs-1e5712c368a099c4e0c9,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,"Premium didn’t show up right after payment, but logging back in fixed it, so it looks like a temporary account sync issue.",EASY,ACCOUNT_SPECIFIC|PAYMENT,,candidate,2026-09-19T13:56:35.523196+00:00,human,FINALIZED
spotify-gold-candidate-114,twcs-e6b659f176f27b0bd32e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"It’s too easy to remove a whole downloaded playlist by accident, so this feels like a UI/design issue.",EASY,,,candidate,2026-09-19T14:09:12.374068+00:00,human,FINALIZED
spotify-gold-candidate-116,twcs-f178cc303d6156325c2c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,A filter to block Christmas music would be a useful listening preference.,EASY,,,candidate,2026-09-19T14:27:09.172106+00:00,human,FINALIZED
spotify-gold-candidate-120,twcs-ac70f8e77caf91a95ad1,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,They lost their Facebook login and need help getting access to the account another way.,MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:33:03.548024+00:00,human,FINALIZED
spotify-gold-candidate-123,twcs-3498c006b0947878f2a9,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,"The free month they were offered disappeared early, so the subscription offer on the account needs to be checked.",MEDIUM,ACCOUNT_SPECIFIC|POLICY_SENSITIVE,,candidate,2026-09-19T14:05:57.104234+00:00,human,FINALIZED
