case_id,thread_id,taxonomy_version,sampling_version,split_version,sampling_bucket,customer_message,conversation_context,challenge_proxies
spotify-gold-candidate-011,twcs-5dcddcb6c027b8566b5f,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> are you having issues? Search just brings me to a blank page. Doesn't work on wifi or mobile. Running iOS 10.3.3. Started today, wasn't an issue yesterday. <url>","CUSTOMER: <mention> are you having issues? Search just brings me to a blank page. Doesn't work on wifi or mobile. Running iOS 10.3.3. Started today, wasn't an issue yesterday. <url> || SPOTIFY: <mention> Hey Fiona! Everything should be running smoothly now. Let us know if this is still happening /GS",
spotify-gold-candidate-012,twcs-441fbe0b002226ec0c9b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> I am having a hard time logging in to my account. It has been years since I needed info to log in and nothing I try works.,CUSTOMER: <mention> I am having a hard time logging in to my account. It has been years since I needed info to log in and nothing I try works. || SPOTIFY: <mention> Hey Kevin! We're here to help. Can you DM us possible email addresses or usernames you might've created your account with? We'll take a look backstage /KM <url>,
spotify-gold-candidate-013,twcs-9d59e58d848307f3177e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> pls help my paymnt just cleared premium srvc not wrking,"CUSTOMER: <mention> pls help my paymnt just cleared premium srvc not wrking || SPOTIFY: <mention> Hi Ruth! What's happening exactly? Could you DM us more details, along with your account's email address? We'll see what we can suggest /NJ <url>",
spotify-gold-candidate-014,twcs-e3016b2b6e4020d41282,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> just trying to change my payment details, but keeps routing me to confirm student details. not a student anymore, just trying to change the card on file help plx (marisa.boras / __email__)","CUSTOMER: <mention> just trying to change my payment details, but keeps routing me to confirm student details. not a student anymore, just trying to change the card on file help plx (marisa.boras / __email__) || SPOTIFY: <mention> Hey, help's here! We can refund your most recent payment and revert your account to Free. Once your account is on Free, you can resubscribe to Premium with your new card info. Sound good? Just DM us your date of birth and last 4 digits of your card for a security check /JZ <url>",
spotify-gold-candidate-015,twcs-f546ffda8d64df381d7f,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> i cant download any music 😭,"CUSTOMER: <mention> i cant download any music 😭 || SPOTIFY: <mention> Hey, help's here. Can you DM us your account's email address or username? We'll take a look under the hood /AY <url>",
spotify-gold-candidate-016,twcs-6237b39819ff1d9f3f62,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"Aside from reputation, there are no other new releases for <mention> Philippines?","CUSTOMER: Aside from reputation, there are no other new releases for <mention> Philippines? || SPOTIFY: <mention> Hey there, head over to Browse &gt; New Releases to find all the newest hits, fresh off the grill! 🔥 /SY || CUSTOMER: <mention> Thanks. It just loaded the new songs. It was late tho. It usually comes out at midnight. || SPOTIFY: <mention> Glad to hear that they've all showed up on your end now! Thanks for your fe /SYedback, we'll pass it on to the relevant folks. Have a great day 😁 /SY",
spotify-gold-candidate-017,twcs-f27625ba0eec721a6f25,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> can you PLEASE add <mention>'s Bastard and Goblin mixtapes??? Pleaaasseeeeeeee,"CUSTOMER: <mention> can you PLEASE add <mention>'s Bastard and Goblin mixtapes??? Pleaaasseeeeeeee || SPOTIFY: <mention> Hey there! We’ve got some info about mixtapes here: <url> If there's anything else you need, just give us a shout 🙂 /KC",
spotify-gold-candidate-018,twcs-16b66a41f4c60f563aba,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> Hi! Will there be a personal ""My Year in Music 2017""?, as we had in 2014, 2015? I was waiting for this for the whole of 2016, and it never came. I have now waited the whole of 2017 and I really hope you guys bring us something this year!","CUSTOMER: <mention> Hi! Will there be a personal ""My Year in Music 2017""?, as we had in 2014, 2015? I was waiting for this for the whole of 2016, and it never came. I have now waited the whole of 2017 and I really hope you guys bring us something this year! || SPOTIFY: <mention> Hey there! We don't have any info on this at the moment, but keep your eyes peeled for updates 🙂 /PB",
spotify-gold-candidate-019,twcs-2e667d0aeed0924e01a1,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> 4 months worth of additions to my playlist are missing when listening on my PC, I can still see them on my phone.","CUSTOMER: <mention> 4 months worth of additions to my playlist are missing when listening on my PC, I can still see them on my phone. || SPOTIFY: <mention> Hey there! That's not cool. Can you let us know the operating system and app version you're running on your PC? We'll see what we can suggest /PB || CUSTOMER: <mention> Windows 10, 1.0.68.407.g6864aaaf || SPOTIFY: <mention> Got it. Just to check, does logging out then logging back in help at all? /PB || CUSTOMER: <mention> No. Neither did updating to the latest verson or restarting my computer. It has been like this for 8 days. Very strange.. this is the playlist: <url> <url> || SPOTIFY: <mention> Thanks for the screenshot. Can you DM us the link to your playlist? We'll take a look under the hood /PB <url>",
spotify-gold-candidate-020,twcs-3832f1e172c95e4f4d29,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Anyone else having this problem with <mention> when searching/browsing? <url>,"CUSTOMER: Anyone else having this problem with <mention> when searching/browsing? <url> || CUSTOMER: <mention> <mention> Me, on two devices, one in 4G one on WiFi <mention> || SPOTIFY: <mention> Hey Bastien! Can you DM us your account's username or email address? We'll check backstage /NG <url>",
spotify-gold-candidate-021,twcs-2d6e39359c4b6491a6ae,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> I can't log into my account and password reset tokens are broken. Help! Username: 99CENTSPECIAL,"CUSTOMER: <mention> I can't log into my account and password reset tokens are broken. Help! Username: 99CENTSPECIAL || SPOTIFY: <mention> Hey Janelle, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us in the loop /JX || CUSTOMER: <mention> Will try again today but my problem is with the web player, not the phone app || SPOTIFY: <mention> Hey Janelle! We'd suggest deleting your first tweet as it contains your username and sending it to us via DM instead. Let's carry on chatting there /QI <url> || CUSTOMER: <mention> Web player is now working again for me, thanks for the response. || SPOTIFY: <mention> That's great to hear! If you ever need help with anything else, you know where to find us /QI",
spotify-gold-candidate-022,twcs-acaeff6320021eb8be7a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> Your maximum download count for Spotify premium customers is WAY too small, please work on fixing this!","CUSTOMER: <mention> Your maximum download count for Spotify premium customers is WAY too small, please work on fixing this! || SPOTIFY: <mention> Hey Kipp! We can see how that’d be useful. You can vote for the official idea here: <url> If you need anything else, just shout and we'll come running 🏃 /PK",
spotify-gold-candidate-023,twcs-f13e487da89195530dd3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> <mention> I'm having a weird issue with billing that I can't sort out, and can't find a contact form on your website. Could you please reach out to me so I can give you my money?","CUSTOMER: <mention> <mention> I'm having a weird issue with billing that I can't sort out, and can't find a contact form on your website. Could you please reach out to me so I can give you my money? || CUSTOMER: <mention> <mention> Now I've been charged for Student twice. I'm not a student. Please contact me. Thanks! 🌊🌊🌊 || SPOTIFY: <mention> Hey, help's here. Could you send us a DM with your account's email address and username? We'll check it out /JZ <url>",
spotify-gold-candidate-024,twcs-543c1171fe6048e49ee2,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> Is there a way to download or access my own user/listening data? Would love to do my own exploratory analysis on this data, and be able to archive it.","CUSTOMER: <mention> Is there a way to download or access my own user/listening data? Would love to do my own exploratory analysis on this data, and be able to archive it. || SPOTIFY: <mention> Hey there! We're afraid this isn't possible right now, but we can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ",
spotify-gold-candidate-025,twcs-164df25bb1d676a70409,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Hey <mention>! How does one publish a podcast with you?,"CUSTOMER: Hey <mention>! How does one publish a podcast with you? || SPOTIFY: <mention> Hey Sasha, thanks for your interest! For more info on getting your podcast on Spotify, check out: <url> If you ever need anything else, just shout and we'll come running 🏃 /JX",
spotify-gold-candidate-026,twcs-969fa8b9f1b070e4821e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> having trouble logging in w my tablet-says I've logged in from an unrecognized browser. Any ideas?,CUSTOMER: <mention> having trouble logging in w my tablet-says I've logged in from an unrecognized browser. Any ideas? || SPOTIFY: <mention> Hi Naomi! We've just replied to your DM. We'll carry on chatting there 🙂 /Q,
spotify-gold-candidate-027,twcs-1907bde60f49cc473f3b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Why can’t <mention> run in iOS split screen on iPad? Makes no sense to me.,"CUSTOMER: Why can’t <mention> run in iOS split screen on iPad? Makes no sense to me. || SPOTIFY: <mention> Hey Martin! We'd suggest showing your support for the official idea here: <url> For anything else, let us know /LP",
spotify-gold-candidate-028,twcs-4f63889e8921cac4d591,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> I can't link my Spotify account to my nee playstation account.. help?! Please!! This is making Christmas tree night a really bummer,"SPOTIFY: <mention> Hey, help's here. We have some handy info about Spotify and PlayStation here: <url> Give us a shout if you have any questions /JZ || CUSTOMER: <mention> Yeah I checked the website. I keep getting this error message.. <url> || SPOTIFY: <mention> Got it. Could you head over to your account's approved applications at <url> and check if PlayStation is on the list? If so, try tapping “Revoke Access”. Let us know if that makes any difference /JZ || CUSTOMER: <mention> Done that and it's still coming up with the same error message || SPOTIFY: <mention> Thanks for trying it out. Our friends over <mention> should be able to help with this. They can help unlink your PSN from the Spotify account that's associated with it. For anything else, just give us a shout /GS || CUSTOMER: <mention> <mention> Okay thank you. Please help <mention>",
spotify-gold-candidate-029,twcs-d656b4d42842df45846a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> I can't select my #Sonos speaker (Office) in the ""Devices Available"" menu and can't play #Spotify to it anymore since Sonos removed Spotify from their music services menu. What do I do? [MacOS 10.11.6, Spotify 1.0.68.407.g6864aaaf Sonos 8.2.1] <url>","CUSTOMER: <mention> I can't select my #Sonos speaker (Office) in the ""Devices Available"" menu and can't play #Spotify to it anymore since Sonos removed Spotify from their music services menu. What do I do? [MacOS 10.11.6, Spotify 1.0.68.407.g6864aaaf Sonos 8.2.1] <url> || SPOTIFY: <mention> Hey, the cavalry's here! Could you head over to your account's Approved applications at <url> and check if Sonos is on the list? If so, try tapping “Revoke Access”. Then, approve access for Sonos again. Let us know if that makes any difference /JZ || CUSTOMER: <mention> Bollocks, it didn't work. Any other tips/tricks? TIA || SPOTIFY: <mention> Thanks for the update. We’d suggest checking the steps under ""General Troubleshooting"" at <url> Hope that helps /JE",
spotify-gold-candidate-030,twcs-52e02e3eb4aad3350055,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> do you guys have a email address? Having issue with student discount,"CUSTOMER: <mention> do you guys have a email address? Having issue with student discount || SPOTIFY: <mention> Hey there! You can get in touch with our Email or Chat team at <url> but we can also help you our here on Twitter. If you'd like to continue here, just DM us your account's email address, along with a little more info about your issue /LM <url>",
spotify-gold-candidate-031,twcs-c4105469de90e9f860b6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> Do you have plans to allow people to buy gift subscriptions for people in other countries? It's crazy that I live in Sweden but can't buy a gift for someone in Ireland.,"CUSTOMER: <mention> Do you have plans to allow people to buy gift subscriptions for people in other countries? It's crazy that I live in Sweden but can't buy a gift for someone in Ireland. || SPOTIFY: <mention> Hey! At this time, Spotify gift cards can only be redeemed on accounts registered in the same country where they were purchased, but we can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ",
spotify-gold-candidate-032,twcs-c130e8515dcb41eb815d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> I'm being wrongly charged for marion.cub's Spotify account through my Fido number. I've never had or used Spotify,help me out","CUSTOMER: <mention> I'm being wrongly charged for marion.cub's Spotify account through my Fido number. I've never had or used Spotify,help me out || SPOTIFY: <mention> Hey Rishni, that's not cool! Since Fido are the ones who manage that subscription, you'll have to contact them. You can reach them here at <url> If you ever need anything else, just shout and we'll come running 🏃 /JK",
spotify-gold-candidate-033,twcs-c06f65e9e9b0f3a06f0c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"Is anyone having issues with <mention> today? It is extremely slow to start, search not working, my library not rendering. <mention>","CUSTOMER: Is anyone having issues with <mention> today? It is extremely slow to start, search not working, my library not rendering. <mention> || SPOTIFY: <mention> Hey, help's here! Can you DM us your account's email address along with the make &amp; model of the device you're using? We'll figure out what's going on /RR <url>",
spotify-gold-candidate-034,twcs-86abf490736e040764a0,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,ayo <mention> accept my artist request so I can upload some jams,"CUSTOMER: ayo <mention> accept my artist request so I can upload some jams || SPOTIFY: <mention> Hey there! Could you DM us your artist URI, and your contact email address? We’ll check things out backstage /JO <url> || CUSTOMER: <mention> <mention> dang. my mans cracky gonna get biiig",
spotify-gold-candidate-035,twcs-521f749cdd2180c490dd,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,I really miss the <mention> messages feature :( being able to send songs to other spotify users without having to go via another social media...,"CUSTOMER: I really miss the <mention> messages feature :( being able to send songs to other spotify users without having to go via another social media... || SPOTIFY: <mention> Hey Alice! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see back. If you need anything else, just shout and we'll come running 🏃 /JZ || CUSTOMER: <mention> it's a shame! It's not even like I need an ""inbox"" just being able to send a song through spotify would be so cool. But anyway! Thanks so much for replying &lt;3 X || SPOTIFY: <mention> Don't worry, your thoughts won't fall on deaf ears. Have a <url> 💚 /LP",
spotify-gold-candidate-036,twcs-037ad33c5b66d2a0115e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,How come you don't have Tool available? <mention> :( <url>,"CUSTOMER: How come you don't have Tool available? <mention> :( <url> || SPOTIFY: <mention> Hey, we'd love them on Spotify as much as you! Hopefully we'll have them in the future: <url> /MT",
spotify-gold-candidate-037,twcs-be8fbc792816f2bf404e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Er <mention> Am I being terminally stupid? How do I add a whole album to a playlist? 😳🤔😩,CUSTOMER: Er <mention> Am I being terminally stupid? How do I add a whole album to a playlist? 😳🤔😩 || SPOTIFY: <mention> Hey there! Sorry for the delay. Glad to hear things are sorted out now. Just let us know if we can help with anything. <url> /PB || CUSTOMER: <mention> Just me being stupid! Thank you. ☺️,
spotify-gold-candidate-038,twcs-e2c58cc6634b77333d06,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> Is there any chance in the future for group listening with a synchronized stream to friends' devices?,"CUSTOMER: <mention> Is there any chance in the future for group listening with a synchronized stream to friends' devices? || CUSTOMER: <mention> also the lyrics function coming back || SPOTIFY: <mention> Hey! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see. As for the lyrics, we hear you. Any updates will be posted at <url> We'd recommend voting to support the idea, too /NQ",
spotify-gold-candidate-039,twcs-184de3aeece68e95e4c1,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Trying to log into Spotify on WDTV but it says I need a premium account. Problem is I have a premium account already?? <mention> <mention>,CUSTOMER: Trying to log into Spotify on WDTV but it says I need a premium account. Problem is I have a premium account already?? <mention> <mention> || SPOTIFY: <mention> Hey Cathryn! Help's here. Can you DM us your account's email address? We'll take a look backstage /DD <url>,
spotify-gold-candidate-040,twcs-2639adf9a139073df6c9,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> Having a very hard time joining my brothers Premium Family Plan. It keeps kicking me out. Please advise how to solve this. Thanks!,"CUSTOMER: <mention> Having a very hard time joining my brothers Premium Family Plan. It keeps kicking me out. Please advise how to solve this. Thanks! || SPOTIFY: <mention> Hey Nishant, help's here! Could you send us a DM with your usernames or email addresses? We'll take a look backstage 🔍 /DB <url>",
spotify-gold-candidate-041,twcs-ca5dcae9b0c6242a6310,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"hey <mention> do you accept payment via debit card? And if so, how do I go about this? I only see the credit card option. Please respond, thank you! 😉","CUSTOMER: hey <mention> do you accept payment via debit card? And if so, how do I go about this? I only see the credit card option. Please respond, thank you! 😉 || SPOTIFY: <mention> Hey Amanda! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage /MT <url>",
spotify-gold-candidate-042,twcs-9c1d76003f8a2114a49a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Phone migration was painless until I got to downloading my primary <mention> playlist... it probably doesn't help to have it set to Extreme.,"CUSTOMER: Phone migration was painless until I got to downloading my primary <mention> playlist... it probably doesn't help to have it set to Extreme. || CUSTOMER: <mention> I'm still not sure why the <mention> UI shows 4,000+ songs to download when it maxes out at 3,333. || SPOTIFY: <mention> Hey Monique! Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. Hope this clears things up /AR || CUSTOMER: <mention> I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;) || SPOTIFY: <mention> That's odd. Can you send us a screenshot of what you're seeing in-app? We'll do some digging 🔍 /JE",
spotify-gold-candidate-043,twcs-25339434a9d0a5b4d433,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> I want to use <mention> to get my podcast on Spotify. How can I get it in the podcast category instead on the music section?,"CUSTOMER: <mention> I want to use <mention> to get my podcast on Spotify. How can I get it in the podcast category instead on the music section? || SPOTIFY: <mention> Hey James, thanks for your interest! For more info on getting your podcast on Spotify, check out: <url> /KL",
spotify-gold-candidate-044,twcs-04d061c01e2d86158167,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> u guys should update and give users the ability to delete songs from the search bar of our playlists so we don’t have to scroll through a thousand songs to get rid of one,"CUSTOMER: <mention> It doesn’t let me click the filter bar when editing my playlist and there is no option in the (...) next to the song that says delete || SPOTIFY: <mention> Hmm. Just to check, does the filter not allow you to enter any text at all? Can we also have you send over a screenshot of the options available to you once the (...) button has been selected? We'll see what we can suggest /JI || CUSTOMER: <mention> I can type in it as long as I’m not in edit. Here is a picture of all the options from the (...) <url> || SPOTIFY: <mention> Sorry for the confusion. Have you tried following the steps here: <url> Keep us posted /MT || CUSTOMER: <mention> You...didn’t solve anything. You just linked me to directions you’ve already told me that I said, in the beginning, didn’t include the feature I suggested to be added. But you know what it’s fine, I give up, I’ll just keep scrolling through 800 songs to delete one || SPOTIFY: <mention> Sorry for the confusion. Don't worry, we'll let our devs know this is something you'd like to see. You can also show your support for the same idea in our Community: <url> /JP",
spotify-gold-candidate-045,twcs-97506d576640871f269b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,Why is there no way to continue on your offer landing page <mention> ? <url>,CUSTOMER: Why is there no way to continue on your offer landing page <mention> ? <url> || SPOTIFY: <mention> Hey there! Can you send us the link to this page? We'll check it out /DB || CUSTOMER: <mention> Have sent in dm.,
spotify-gold-candidate-046,twcs-524c1b5b3b88584539d6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> how am I suppose to complete my perfect Christmas playlist when you don’t have That Spirit of Christmas by Ray Charles?!? #frustrated #christmasvacation <mention> #spotifydoesntcare,"CUSTOMER: <mention> how am I suppose to complete my perfect Christmas playlist when you don’t have That Spirit of Christmas by Ray Charles?!? #frustrated #christmasvacation <mention> #spotifydoesntcare || SPOTIFY: <mention> Hey Jamie! We’d love to have all of his stuff available, but we have some info about content here: <url> 🙂 /JI || CUSTOMER: <mention> <mention> thank you for answering! Makes sense. Happy Holidays! || SPOTIFY: <mention> You're welcome! Let us know if you ever need us again. We'd be happy to help. Have a... <url> /AN",
spotify-gold-candidate-047,twcs-5255cb0ad99f5bb848e5,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"Hey <mention> , is there a reason why ""installing Spotify"" comes up every time I open on my PC? I hope it's not an 'automatic update'.","CUSTOMER: Hey <mention> , is there a reason why ""installing Spotify"" comes up every time I open on my PC? I hope it's not an 'automatic update'. || SPOTIFY: <mention> Hi there, thanks for bearing with us. Spotify should be working perfectly again! 🙂 /GN",
spotify-gold-candidate-048,twcs-d616677c17354f00dba3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> lately I've been trying to log in to my account and it wont let me can you please fix this,"CUSTOMER: <mention> lately I've been trying to log in to my account and it wont let me can you please fix this || SPOTIFY: <mention> Hey Jose, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /CM <url>",
